N,Events,,Interval,,Events
0.995584989,7049.180328,,0.5,1.5,5858
2.002207506,1300.546448,,1.5,2.5,1027
3,10.92896175,,2.5,3.5,0
0.995584989,1191.256831,,,,
1.997792494,273.2240437,,,,
3,10.92896175,,,,
